steps_back,steps_forward,steps_back_spacing,steps_forward_spacing,add_downstream_data,add_upstream_data,max_depth,num_leaves,min_child_samples,n_estimators,learning_rate,reg_alpha,reg_lambda,colsample_bytree,train_time [s],prediction_time [s],MAPE,MAE,MSE
10,15,1,15,True,True,9,160,100,500,0.06999999999999999,15,25,0.6000000000000001,3.2690425999753643,0.14604179999150801,0.06240504100857882,6.238429843417506,106.9236253128914
5,15,5,15,True,True,6,1980,750,700,0.08,45,50,0.9000000000000001,1.6374455000186572,0.13502339998376556,0.06217243682577751,6.292336531512726,104.55275513956651
5,15,1,15,True,True,11,600,600,600,0.060000000000000005,10,45,1.0,2.4448632999992697,0.1632988000055775,0.06142863037916848,6.199264448545873,102.06025861247794
15,15,1,15,True,True,8,1360,200,700,0.03,25,20,0.6000000000000001,4.003665000025649,0.17281449999427423,0.06068585404198247,6.070649966560562,101.29999483677601
15,15,5,15,True,True,11,840,100,300,0.02,15,5,1.0,3.0660822999925585,0.11002789999474771,0.06076501039927146,6.079865001274979,102.50555727163412
5,15,3,15,True,True,5,160,350,700,0.05,5,15,0.4,1.6040840999921784,0.13085279997903854,0.061036262611366264,6.126699785589632,100.74842646395811
5,15,3,15,True,True,10,1860,550,300,0.02,45,20,0.8,1.210168400008115,0.08632539997051936,0.060683935396641075,6.105409445042325,99.37045416802326
10,15,1,15,True,True,11,760,200,600,0.01,10,25,1.0,4.966216900022118,0.16047159998561256,0.05979861177418252,5.970691349499629,98.73466392264461
10,15,1,15,True,True,8,1120,300,500,0.08,30,50,0.4,2.061031599980197,0.1268924000178231,0.061498615158949145,6.17124212654416,103.25353356582664
10,15,1,15,True,True,4,260,600,400,0.02,40,0,0.7,1.2199788999860175,0.09266319999005646,0.06125707910883963,6.185485352303161,100.54798660522616
15,15,3,15,True,True,12,1420,400,1000,0.09999999999999999,0,35,0.2,4.3898721000150545,0.21450619999086484,0.06315316584524437,6.3881259419005545,106.40356436062291
5,15,3,15,True,True,10,1980,550,100,0.01,50,15,0.8,0.5451018000167096,0.05822039999475237,0.08439499979727058,8.639821119838174,149.35960086851645
10,15,3,15,True,True,12,1580,500,200,0.04,35,35,0.8,1.2268904999946244,0.07589839996944647,0.06022850101717288,6.054041893440371,98.6394133890468
10,15,5,15,True,True,12,1540,250,100,0.04,30,35,0.9000000000000001,0.8628474000288406,0.06308060001174454,0.06009507423219489,6.003325770184132,98.73469532864529
10,15,3,15,True,True,12,640,450,900,0.04,25,35,0.8,3.826070399984019,0.21098340000025928,0.06165026706883235,6.210532432249107,102.84555219386479
10,15,1,15,True,True,10,1040,750,300,0.01,35,30,1.0,1.909069899993483,0.09648540000489447,0.06345061576547513,6.380593605507682,105.23242063878565
15,15,5,15,True,True,7,1680,200,800,0.04,20,40,0.7,3.1719020000018645,0.19938630002434365,0.06193198839755302,6.20268915878392,104.98663645750253
10,15,3,15,True,True,3,1220,500,200,0.060000000000000005,0,25,0.9000000000000001,0.5610259000095539,0.07051610000780784,0.060955714354251976,6.150769840455645,99.56880251716606
15,15,1,15,True,True,9,460,700,400,0.03,10,10,0.6000000000000001,1.9933207999856677,0.10859380000329111,0.060920818229023975,6.13772478591338,99.90839633343205
10,15,3,15,True,True,11,780,400,600,0.05,35,30,0.7,2.972062700006063,0.17030920000979677,0.061284901069956876,6.152410221676584,101.62798156885157
10,15,5,15,True,True,9,840,650,400,0.01,20,40,0.5,1.2179543999955058,0.10319589999562595,0.0629709846412333,6.336280820037631,104.2846283759742
10,15,5,15,True,True,12,1600,200,100,0.04,30,35,0.9000000000000001,1.1082519999908982,0.07127810000383761,0.06011741003801957,6.001260034644661,99.07482267791302
10,15,5,15,True,True,12,1580,300,200,0.03,35,30,0.9000000000000001,1.5879413999937242,0.08865510000032373,0.05973297287274334,5.983181286447962,97.83868792162079
10,15,5,15,True,True,11,1780,300,200,0.03,40,30,1.0,1.4474838999885833,0.07950370000617113,0.05976488588139076,5.988579705965372,98.06959965957793
10,15,5,15,True,True,12,1760,300,200,0.03,40,30,0.8,1.4367100000090431,0.07903120000264607,0.05975612002104534,5.9829892041949915,98.12601827843937
5,15,5,15,True,True,10,1700,300,200,0.03,40,30,0.9000000000000001,1.0828342999884626,0.07422130003396887,0.05970044579500905,5.981416156727562,97.75506059620034
5,15,5,15,True,True,10,1800,300,200,0.03,50,20,0.9000000000000001,1.273101199985831,0.0903831000032369,0.059882562006397314,5.996676030265476,98.31968791548788
5,15,5,15,True,True,11,1360,350,300,0.02,40,40,1.0,1.9257250000082422,0.11553470000217203,0.05986325099335362,6.000286779983364,98.02435978403449
