steps_back,steps_forward,steps_back_spacing,steps_forward_spacing,add_downstream_data,add_upstream_data,max_depth,num_leaves,min_child_samples,n_estimators,learning_rate,reg_alpha,reg_lambda,colsample_bytree,train_time [s],prediction_time [s],MAPE,MAE,MSE
15,15,3,15,True,True,4,960,400,400,0.09,25,35,0.4,1.1401202000015473,0.08320230000390438,0.06156186762385176,6.132631642879423,103.3403472612783
20,15,3,15,False,True,10,920,800,300,0.060000000000000005,15,0,1.0,1.4417565000076138,0.08686259999740287,0.06358424171302528,6.416062407848003,108.91486352989726
15,15,4,15,False,False,7,600,350,400,0.05,15,45,0.2,1.1585506000010355,0.07846299999800976,0.07010289319035899,7.172990983865393,119.18585099273618
15,15,4,15,True,False,7,1280,250,100,0.01,35,15,0.2,0.43940160000056494,0.03351189999375492,0.09093104687005972,9.242710634983498,168.16473526716115
20,15,3,15,False,True,7,1560,200,1000,0.03,20,15,0.5,3.9661434999943594,0.22184289999495377,0.06351203935387588,6.364403935527854,111.0602493458746
10,15,5,15,False,False,10,1500,700,1000,0.01,30,0,1.0,3.7026474000012968,0.19336359999942943,0.06419281553383212,6.437809383845537,111.23447546329197
5,15,1,15,False,False,6,460,100,100,0.08,25,35,0.8,0.48601980000239564,0.03959329999634065,0.06289303564840774,6.239524398290569,109.89901943936086
15,15,5,15,False,False,12,1600,150,900,0.060000000000000005,25,10,0.4,7.146402000002126,0.25464719999581575,0.066545202323169,6.626403460349799,119.0548419886782
5,15,4,15,True,False,8,620,350,400,0.06999999999999999,20,20,0.4,1.6035225999985414,0.09299239999745623,0.06257267569477577,6.194515543199049,106.52037327197486
20,15,2,15,True,False,7,1800,350,300,0.08,15,20,0.8,1.3739905000038561,0.07837600000129896,0.06345978904959658,6.2591042390179,110.64921188561833
10,15,1,15,True,True,3,20,550,700,0.09999999999999999,0,50,0.7,1.6911996999988332,0.08996919999844977,0.06235398564102446,6.240065229014038,105.17886396003378
10,15,1,15,True,True,3,20,550,700,0.09999999999999999,0,50,0.7,1.6960001000006741,0.0922245000001567,0.06235398564102446,6.240065229014038,105.17886396003378
10,15,2,15,True,True,3,20,550,700,0.09999999999999999,50,35,0.6000000000000001,1.4486090999926091,0.0901811000003363,0.06217848581421714,6.220498785871958,104.47480116857821
10,15,2,15,True,True,5,1000,500,600,0.09,50,35,0.5,1.6943686999984493,0.10637080000014976,0.062149815020927764,6.204440898743396,105.12714297250477
15,15,2,15,True,True,4,340,650,800,0.09999999999999999,50,35,0.4,1.9487503000054858,0.11543929999606917,0.06220637685872466,6.215701610168074,104.80120059006326
5,15,3,15,True,True,5,1960,450,500,0.08,40,30,0.6000000000000001,1.3730724999986705,0.09197019999919576,0.061817573692849855,6.166206852859545,104.5069788204404
15,15,2,15,True,True,4,1180,650,600,0.04,40,40,0.30000000000000004,1.461098799994943,0.10564260000319337,0.061855716262369416,6.181347095261207,102.54120982452564
15,15,2,15,True,True,5,1180,700,500,0.04,40,45,0.30000000000000004,1.3808637000038289,0.08566319999590633,0.06201624524944258,6.197017969885503,102.98828728628074
15,15,2,15,True,True,5,1240,800,600,0.04,40,45,0.30000000000000004,1.5692801000077452,0.09962939999604714,0.06226390097975177,6.231317557512869,103.48143206137848
20,15,1,15,True,True,9,1260,700,500,0.03,40,45,0.30000000000000004,2.497595700002421,0.12135950000447338,0.062399781541745525,6.219404314620856,104.51675296239382
20,15,2,15,True,True,6,800,700,200,0.04,45,40,0.2,0.7106628000037745,0.05227590000140481,0.06438346887371237,6.426204281668287,108.58284220970643
15,15,3,15,True,True,4,1160,600,400,0.03,30,30,0.30000000000000004,0.9627340999941225,0.06931299999996554,0.061692618174851756,6.171549538474536,102.40751411567972
15,15,3,15,True,True,4,1160,650,500,0.02,30,25,0.30000000000000004,1.1660986999995657,0.07803860000058194,0.062162398242567585,6.22638936076883,103.25695382687057
