steps_back,steps_forward,steps_back_spacing,steps_forward_spacing,add_downstream_data,add_upstream_data,max_depth,num_leaves,min_child_samples,n_estimators,learning_rate,reg_alpha,reg_lambda,colsample_bytree,train_time [s],prediction_time [s],MAPE,MAE,MSE
5,15,3,5,True,True,5,980,350,300,0.06999999999999999,50,20,0.30000000000000004,6.551240599999801,0.3160651999999118,0.06177917519303018,6.327628662059398,107.79835072506614
5,15,5,5,True,True,8,880,600,400,0.02,20,5,0.4,9.973099200000206,0.477740399999675,0.06345478490987352,6.552641558339668,111.13311535449502
10,15,1,1,True,True,11,940,200,300,0.03,30,0,0.2,98.50840710000011,2.614260200000217,0.06521171667528125,6.744748859188536,129.1340475247867
15,15,3,3,True,True,6,1600,400,500,0.04,15,10,0.9000000000000001,26.406205799999952,0.9785906000001887,0.06086804385360169,6.200501393701897,111.6010495679814
15,15,3,5,True,True,3,1080,200,500,0.02,20,40,0.4,8.652961699999878,0.3900783999997657,0.06255546628191691,6.385802265238875,110.44148162606525
15,15,3,1,True,True,11,520,100,100,0.02,15,50,0.30000000000000004,30.332133300000123,0.7042749000002004,0.0962161372056784,10.337615224321805,179.99935548089874
10,15,3,1,True,True,6,1720,800,400,0.04,10,50,0.30000000000000004,48.95493860000033,1.9193728000007013,0.07131876490523624,7.39141056739452,151.44439622093574
10,15,1,3,True,True,8,1840,700,500,0.09,45,15,1.0,32.566951000000245,1.0070316000005732,0.06197356139908492,6.348563281245075,113.5850285664133
5,15,5,3,True,True,8,260,500,300,0.01,20,35,0.4,12.895566700000018,0.49939180000001215,0.07085362993422781,7.242126010995049,126.99721477421431
10,15,5,3,True,True,3,1740,800,100,0.03,45,30,0.9000000000000001,4.278939900000296,0.15266059999976278,0.07168235711105597,7.372779566205949,137.28033049159404
5,15,1,5,True,True,5,1260,350,200,0.08,35,20,0.6000000000000001,5.8268355999998676,0.21954970000069807,0.06033424668588311,6.125008849501197,106.09276884649387
5,15,1,5,True,True,5,1320,350,200,0.08,50,20,0.6000000000000001,5.867037699999855,0.2372032999996918,0.060252184713715184,6.113153015509723,105.69716114490066
5,15,1,5,True,True,5,1320,300,200,0.09999999999999999,35,25,0.7,6.065330999999333,0.23384279999936552,0.06015705600198714,6.1039075250895864,106.145569039932
5,15,1,5,True,True,4,1360,500,200,0.06999999999999999,0,15,0.6000000000000001,4.894944399999986,0.21027149999963513,0.06113812758910979,6.245154047201256,108.01277926425557
5,15,1,5,True,True,6,1360,250,200,0.08,35,25,0.6000000000000001,6.977935699999762,0.2582538000006025,0.05981877833694912,6.052280010994058,104.75309517921455
5,15,1,5,True,True,7,640,250,200,0.060000000000000005,40,30,0.7,7.617546900000889,0.2701423999992585,0.0594912547520016,6.0337836708705135,104.07481391086867
10,15,1,3,True,True,10,620,200,100,0.060000000000000005,40,40,0.7,12.608551099999659,0.29460770000014236,0.06127777361476572,6.24402334619934,109.44066889407186
5,15,1,5,True,True,7,140,100,200,0.060000000000000005,30,30,0.8,9.395542800000385,0.3033798000005845,0.05958109187561646,6.0151734642126655,104.27789480033282
5,15,3,3,True,True,9,100,100,400,0.060000000000000005,30,35,0.8,32.25771570000006,1.156215200000588,0.060426076405532804,6.083977122124265,108.82658072967676
10,15,1,5,True,True,7,420,100,100,0.05,30,30,0.8,7.453679699999611,0.16813340000044263,0.06098555795800091,6.200919836042886,107.42230384636893
