steps_back,steps_forward,steps_back_spacing,steps_forward_spacing,add_downstream_data,add_upstream_data,max_depth,num_leaves,min_child_samples,n_estimators,learning_rate,reg_alpha,reg_lambda,colsample_bytree,train_time [s],prediction_time [s],MAPE,MAE,MSE
10,15,1,3,True,True,6,1600,550,300,0.08,20,35,0.7,21.782788799999253,0.6610821000031137,0.06221901354263155,6.312739225788302,114.66177935954279
10,15,1,5,True,True,9,380,200,500,0.05,35,50,0.4,29.264080699998885,0.9972369000061008,0.06084616649036544,6.087114136101806,107.2743774371968
5,15,5,1,True,True,9,400,150,100,0.04,45,35,1.0,44.97576739999931,0.8549600999976974,0.0665300813503973,6.7545105212265755,127.15392643710368
5,15,1,3,True,True,7,820,200,300,0.04,0,35,0.6000000000000001,21.75624880000396,0.8725911000001361,0.0617888315752691,6.226877625211095,113.15326985839584
10,15,1,5,True,True,4,840,550,100,0.05,10,10,0.30000000000000004,4.571665600000415,0.1629711000023235,0.06488044746554415,6.597117969031966,116.67511136215505
5,15,5,1,True,True,4,1300,800,500,0.09,15,5,0.4,62.47430310000345,2.5025222999975085,0.0710456662656874,7.3552963970522045,151.5283062170557
15,15,1,5,True,True,10,1580,600,200,0.060000000000000005,15,30,0.5,19.692334800001845,0.3712619000034465,0.06161173039478965,6.241523293965109,109.37004380692173
5,15,3,3,True,True,4,1520,400,500,0.03,30,35,0.5,20.865574200000992,0.9346976999986509,0.06311688234893116,6.386921249613873,117.73420454563457
10,15,1,3,True,True,4,1680,800,400,0.06999999999999999,50,30,0.5,21.1306175000027,0.8053626000000804,0.06462604642831891,6.607642274243267,122.2935522136549
10,15,5,1,True,True,12,1580,500,500,0.02,30,25,0.8,190.18666900000608,4.268303699998796,0.06767826121569342,6.986080744060558,145.14158411859276
15,15,3,5,True,True,12,140,300,400,0.01,40,50,0.2,15.41745230000015,0.7184223999975075,0.06473509873168065,6.5284624437990955,112.49573362133943
15,15,3,5,True,True,10,2000,700,200,0.060000000000000005,35,50,0.4,11.63152240000636,0.33790809999845806,0.06281174754956155,6.398695126531167,112.00443444649915
15,15,1,5,True,True,9,420,350,200,0.09999999999999999,5,20,0.2,12.546504499998264,0.4098760999913793,0.06190219424769472,6.245424435046804,109.82500868707257
15,15,1,5,True,True,10,1140,650,200,0.060000000000000005,25,45,0.7,18.757595300001412,0.3576809999976831,0.0616529383527247,6.271772688082493,109.76354872864756
10,15,3,5,True,True,8,580,250,400,0.06999999999999999,20,20,0.4,17.611625099994853,0.7902159000041138,0.061180864871307895,6.140240071460948,108.78362195136454
10,15,3,5,True,True,7,520,100,400,0.08,25,15,0.30000000000000004,18.322465800003556,0.8086355000050389,0.0616653110345415,6.166246178985446,109.18301487494786
10,15,3,3,True,True,6,40,250,400,0.04,35,20,0.4,23.625300200004858,1.0925560999967274,0.06187366845660305,6.235504464712087,113.9063774987214
10,15,5,5,True,True,8,680,250,500,0.06999999999999999,20,0,0.30000000000000004,20.363374900000053,0.9733374999996158,0.06275551347761105,6.354837608280204,111.93167302367739
5,15,3,5,True,True,8,160,100,300,0.05,40,45,0.6000000000000001,15.659673599995585,0.6307135000060953,0.060561628375741354,6.052529865488187,107.31873150931948
5,15,3,3,True,True,11,60,100,300,0.05,50,45,0.9000000000000001,35.79329109999526,1.2107239999968442,0.061166971732530266,6.137554425235656,112.55679445100668
5,15,5,3,True,True,6,260,400,300,0.03,40,45,0.6000000000000001,16.158697300001222,0.6825955000022077,0.0633133802366825,6.429564943760435,118.0924365415684
10,15,3,5,True,True,8,620,200,400,0.06999999999999999,35,50,0.7,19.865944400000444,0.7720921000000089,0.060758186071573204,6.09461863284914,107.67052130316438
